Years,Population
1557,7000
1800,40000
1811,53900
1840,41300
1856,56300
1858,61000
1863,63100
1897,130000
1907,161000
1914,194200
1917,206562
1920,146495
1923,157600
1926,175597
1931,200900
1933,258700
1937,358592
1939,398014
1956,565000
1959,646806
1962,711000
1964,742000
1966,804000
1967,821000
1970,868537
1973,919000
1975,959000
1976,959000
1979,992675
1982,1023000
1985,1051000
1986,1060000
1987,1068000
1989,1094378
1990,1094000
1991,1105000
1992,1104000
1993,3719831
1994,3740811
1995,3751808
1996,3761178
1997,3770046
1998,3780352
1999,3789259
2000,3789688
2001,3786845
2002,3781867
2003,3777667
2004,3773105
2005,3768167
2006,3761600
2007,3763106
2008,3766778
2009,3773526
2010,3784458
2011,3787485
2012,3803189
2013,3822038
2014,3838230
2015,3855037
2016,3868730
2017,3885253
2018,3894284
2019,3898628
